symbol,full_name,description,exchange,type,sector,logo_urls,exchange_logo,is_master
LIFEINSU,LIFEINSU,Life Insurance,Life Insurance src:Nepsealpha.com,index,LIFEINSU,/storage/,/storage/,False
LLBS,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,Microfinance src:Nepsealpha.com,stock,MICROFINANCE,/storage/stock-full-names/alpha-stocks/66e40912593e51726220562.png,/storage/stock-full-names/alpha-stocks/66e40912593e51726220562.png,True
LLBSPO,LLBSPO,Laxmi Laghubitta Bittiya Sanstha Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock,PROMOTSHARE,/storage/stock-full-names/March2022/layVBcbvpPA2qObSDbP6.png,/storage/stock-full-names/March2022/layVBcbvpPA2qObSDbP6.png,False
LSL,LSL,Laxmi Sunrise Bank Limited,Commercial Banks src:Nepsealpha.com,stock,BANKING,/storage/stock-full-names/alpha-stocks/66e40911ed4831726220561.png,/storage/stock-full-names/alpha-stocks/66e40911ed4831726220561.png,True
LSLPO,LSLPO,Laxmi Sunrise Bank Limited Promoter Share,Promoter Share src:Nepsealpha.com,stock,PROMOTSHARE,/storage/stock-full-names/September2024/YbKs9aQPEI536XHNQ0RU.png,/storage/stock-full-names/September2024/YbKs9aQPEI536XHNQ0RU.png,False
LUK,LUK,Laxmi Unnati Kosh,Mutual Fund src:Nepsealpha.com,stock,MUTUAL,/storage/stock-full-names/alpha-stocks/66e4091ad3ff71726220570.png,/storage/stock-full-names/alpha-stocks/66e4091ad3ff71726220570.png,False
LVF1,LVF1,Laxmi Value Fund-1,Mutual Fund src:Nepsealpha.com,stock,MUTUAL,/storage/stock-full-names/March2022/Y9oy5Wx7g2kxpqM4kpVq.png,/storage/stock-full-names/March2022/Y9oy5Wx7g2kxpqM4kpVq.png,False
LVF2,LVF2,Laxmi Value Fund 2,Mutual Fund src:Nepsealpha.com,stock,MUTUAL,/storage/stock-full-names/alpha-stocks/66e4091bcebaa1726220571.png,/storage/stock-full-names/alpha-stocks/66e4091bcebaa1726220571.png,False
MABEL,MABEL,Mabilung Energy Ltd,Hydro Power src:Nepsealpha.com,stock,HYDROPOWER,/storage/stock-full-names/July2025/P4Dce0Mcyrgdqm5PqMbK.png,/storage/stock-full-names/July2025/P4Dce0Mcyrgdqm5PqMbK.png,True
MAHALAXMI,MAHALAXMI,Mahalaxmi Life Insurance Limited,Life Insurance src:Nepsealpha.com,stock,LIFEINSU,/storage/,/storage/,False
MAKAR,MAKAR,Makar Jitumaya Suri Hydropower Company Limited,Hydro Power src:Nepsealpha.com,stock,HYDROPOWER,/storage/stock-full-names/alpha-stocks/66e4090241d931726220546.png,/storage/stock-full-names/alpha-stocks/66e4090241d931726220546.png,True
MANDU,MANDU,Mandu Hydropower Limited,Hydro Power src:Nepsealpha.com,stock,HYDROPOWER,/storage/stock-full-names/alpha-stocks/66e40915da2ca1726220565.png,/storage/stock-full-names/alpha-stocks/66e40915da2ca1726220565.png,True
MANUFACTURE,MANUFACTURE,Manufacturing and Processing,Manufacturing And Processing src:Nepsealpha.com,index,MANUFACTURE,/storage/,/storage/,False
MATRI,MATRI,Matribhumi Laghubitta Bittiya Sanstha,Microfinance src:Nepsealpha.com,stock,MICROFINANCE,/storage/stock-full-names/alpha-stocks/66e409135be7f1726220563.png,/storage/stock-full-names/alpha-stocks/66e409135be7f1726220563.png,True
MATRIP,MATRIP,Matribhumi Lagubitta Bittiya Sanstha Limited Promoter,Microfinance src:Nepsealpha.com,stock,MICROFINANCE,/storage/stock-full-names/March2025/KUiI8iC4blpnUoD1jl1m.jpg,/storage/stock-full-names/March2025/KUiI8iC4blpnUoD1jl1m.jpg,False
MBJC,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,Hydro Power src:Nepsealpha.com,stock,HYDROPOWER,/storage/stock-full-names/alpha-stocks/66e40913e1f521726220563.png,/storage/stock-full-names/alpha-stocks/66e40913e1f521726220563.png,True
MBL,MBL,Machhapuchhre Bank Limited,Commercial Banks src:Nepsealpha.com,stock,BANKING,/storage/stock-full-names/alpha-stocks/66e4090f5fab11726220559.png,/storage/stock-full-names/alpha-stocks/66e4090f5fab11726220559.png,True
MBLD2085,MBLD2085,10.25% Machhapuchchhre Debenture 2085,Corporate Debenture src:Nepsealpha.com,stock,CORPDEBEN,/storage/stock-full-names/March2022/w9HaW5AAtVU5XDcomGXc.png,/storage/stock-full-names/March2022/w9HaW5AAtVU5XDcomGXc.png,False
MBLD87,MBLD87,Machhapuchchhre Debenture 2087,Corporate Debenture src:Nepsealpha.com,stock,CORPDEBEN,/storage/stocks-v2/Sep2025/01K41V2MVJ86RS6E2MMK786X1S.png,/storage/stocks-v2/Sep2025/01K41V2MVJ86RS6E2MMK786X1S.png,False
MBLEF,MBLEF,MBL Equity Fund,Mutual Fund src:Nepsealpha.com,stock,MUTUAL,/storage/stock-full-names/March2025/gTCrcTrS5Q4xtfePmBbt.png,/storage/stock-full-names/March2025/gTCrcTrS5Q4xtfePmBbt.png,False
MBLPO,MBLPO,MachhaPuchhre Bank Limited Promotor Share,Promoter Share src:Nepsealpha.com,stock,PROMOTSHARE,/storage/stock-full-names/March2022/5fGKKCYVK7GEoThYUEYy.png,/storage/stock-full-names/March2022/5fGKKCYVK7GEoThYUEYy.png,False
MCHL,MCHL,Menchhiyam Hydropower Limited,Hydro Power src:Nepsealpha.com,stock,HYDROPOWER,/storage/stock-full-names/alpha-stocks/66e409145236f1726220564.png,/storage/stock-full-names/alpha-stocks/66e409145236f1726220564.png,True
MDB,MDB,Miteri Development Bank Limited,Development Banks src:Nepsealpha.com,stock,DEVBANK,/storage/stock-full-names/alpha-stocks/66e40900d389a1726220544.png,/storage/stock-full-names/alpha-stocks/66e40900d389a1726220544.png,True
MDBLPO,MDBLPO,Malika Development Bank Limited Promoter Share,Promoter Share src:Nepsealpha.com,stock,PROMOTSHARE,/storage/stock-full-names/March2022/o3xzVQdvl8gnQ1BiFzRo.png,/storage/stock-full-names/March2022/o3xzVQdvl8gnQ1BiFzRo.png,False
MDBPO,MDBPO,Miteri Development Bank Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock,PROMOTSHARE,/storage/stock-full-names/March2022/7xJ0BJjAdEueLRBHrdUA.png,/storage/stock-full-names/March2022/7xJ0BJjAdEueLRBHrdUA.png,False
MEGA,MEGA,Mega Bank Nepal Ltd.,Commercial Banks src:Nepsealpha.com,stock,BANKING,/storage/stock-full-names/March2022/0LIYSFUzquLwwbhgWS1H.png,/storage/stock-full-names/March2022/0LIYSFUzquLwwbhgWS1H.png,False
MEGAPO,MEGAPO,Mega Bank Nepal Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock,PROMOTSHARE,/storage/stock-full-names/March2022/0TldVeLZcvuweWqnu0c0.png,/storage/stock-full-names/March2022/0TldVeLZcvuweWqnu0c0.png,False
MEHL,MEHL,Manakamana Engineering Hydropower Limited,Hydro Power src:Nepsealpha.com,stock,HYDROPOWER,/storage/stock-full-names/alpha-stocks/66e40902e96541726220546.png,/storage/stock-full-names/alpha-stocks/66e40902e96541726220546.png,True
MEL,MEL,Modi Energy Limited,Hydro Power src:Nepsealpha.com,stock,HYDROPOWER,/storage/stock-full-names/alpha-stocks/66e40913f0ef51726220563.png,/storage/stock-full-names/alpha-stocks/66e40913f0ef51726220563.png,True
MEN,MEN,Mountain Energy Nepal Limited,Hydro Power src:Nepsealpha.com,stock,HYDROPOWER,/storage/stock-full-names/alpha-stocks/66e409131a07d1726220563.png,/storage/stock-full-names/alpha-stocks/66e409131a07d1726220563.png,True
MERO,MERO,Mero Microfinance Bittiya Sanstha Ltd.,Microfinance src:Nepsealpha.com,stock,MICROFINANCE,/storage/stock-full-names/alpha-stocks/66e40910725921726220560.png,/storage/stock-full-names/alpha-stocks/66e40910725921726220560.png,True
MEROPO,MEROPO,Mero Microfinance Bittiya Sanstha Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock,PROMOTSHARE,/storage/stock-full-names/March2022/6e6yQteE9a2lPWO20umV.PNG,/storage/stock-full-names/March2022/6e6yQteE9a2lPWO20umV.PNG,False
METLIFE,METLIFE,Metlife - American Life Insurance Company Limited,Life Insurance src:Nepsealpha.com,stock,LIFEINSU,/storage/,/storage/,False
MFIL,MFIL,Manjushree Finance Ltd.,Finance src:Nepsealpha.com,stock,FINANCE,/storage/stock-full-names/alpha-stocks/66e4090b23fe01726220555.png,/storage/stock-full-names/alpha-stocks/66e4090b23fe01726220555.png,True
MFILPO,MFILPO,Manjushree Finance Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock,PROMOTSHARE,/storage/stock-full-names/March2022/Dc0fSvvrqktr2j6NC1MD.jpg,/storage/stock-full-names/March2022/Dc0fSvvrqktr2j6NC1MD.jpg,False
MFLD85,MFLD85,9.5% Manjushree Finance Ltd. Debenture 2085,Corporate Debenture src:Nepsealpha.com,stock,CORPDEBEN,/storage/stock-full-names/alpha-stocks/66e40917ae8f21726220567.png,/storage/stock-full-names/alpha-stocks/66e40917ae8f21726220567.png,False
MHCL,MHCL,Molung Hydropower Company Limited,Hydro Power src:Nepsealpha.com,stock,HYDROPOWER,/storage/stock-full-names/alpha-stocks/66e40914d13521726220564.png,/storage/stock-full-names/alpha-stocks/66e40914d13521726220564.png,True
MHL,MHL,Mandakini Hydropower Limited,Hydro Power src:Nepsealpha.com,stock,HYDROPOWER,/storage/stock-full-names/alpha-stocks/66e4090d5b5651726220557.png,/storage/stock-full-names/alpha-stocks/66e4090d5b5651726220557.png,True
